stage,team,player_key,league,salary,season,season_end,season_start,team.1,name,position,points_per_game,rebounds_per_game,assists_per_game,blocks_per_game,steals_per_game,turnovers_per_game,player_utility,player_value
Playoffs,SEA,Vin Baker (1999 - 2000),NBA,9000000,1999 - 2000,2000,1999,Seattle SuperSonics,Vin Baker,C,14.0,7.6,2.0,0.4,1.0,3.2,25.72,2.8577777777777778
Playoffs,NYK,Kurt Thomas (1999 - 2000),NBA,1925000,1999 - 2000,2000,1999,New York Knicks,Kurt Thomas,PF,4.3125,3.1875,0.375,0.375,0.1875,0.875,8.95,4.649350649350649
Playoffs,CHA,Eddie Jones (1999 - 2000),NBA,2500000,1999 - 2000,2000,1999,Charlotte Hornets,Eddie Jones,SG,17.0,5.0,4.75,0.75,2.5,1.25,35.375,14.15
Playoffs,MIA,Clarence Weatherspoon (1999 - 2000),NBA,1925000,1999 - 2000,2000,1999,Miami Heat,Clarence Weatherspoon,PF,6.4,4.1,0.1,0.3,0.4,0.8,12.07,6.27012987012987
Playoffs,POR,Greg Anthony (1999 - 2000),NBA,1100000,1999 - 2000,2000,1999,Portland Trail Blazers,Greg Anthony,PG,4.0,1.0666666666666669,1.6666666666666667,0.26666666666666666,0.8666666666666667,0.8,9.246666666666666,8.406060606060604
Playoffs,PHX,Jason Kidd (1999 - 2000),NBA,6858335,1999 - 2000,2000,1999,Phoenix Suns,Jason Kidd,SG,9.833333333333334,6.666666666666668,8.833333333333334,0.16666666666666666,1.8333333333333333,3.8333333333333335,31.250000000000004,4.556499500243135
Playoffs,PHI,George Lynch (1999 - 2000),NBA,2000000,1999 - 2000,2000,1999,Philadelphia 76ers,George Lynch,SF,5.9,7.1,1.4,0.5,0.9,0.8,18.52,9.26
Playoffs,UTA,Olden Polynice (1999 - 2000),NBA,2000000,1999 - 2000,2000,1999,Utah Jazz,Olden Polynice,C,5.9,6.6,0.5,0.8,0.3,1.3,15.470000000000002,7.735000000000001
Playoffs,TOR,Vince Carter (1999 - 2000),NBA,2267280,1999 - 2000,2000,1999,Toronto Raptors,Vince Carter,SF,19.33333333333333,6.0,6.333333333333332,1.3333333333333333,1.0,2.6666666666666665,38.03333333333333,16.77487268150971
Playoffs,CHA,Elden Campbell (1999 - 2000),NBA,7975000,1999 - 2000,2000,1999,Charlotte Hornets,Elden Campbell,C,14.25,8.25,1.0,1.0,0.5,2.0,26.65,3.341692789968652
Playoffs,SAC,Vlade Divac (1999 - 2000),NBA,8837774,1999 - 2000,2000,1999,Sacramento Kings,Vlade Divac,C,11.2,7.2,2.8,0.8,1.4,1.8,26.64,3.0143336998660524
Playoffs,SAC,Tony Delk (1999 - 2000),NBA,485000,1999 - 2000,2000,1999,Sacramento Kings,Tony Delk,PG,11.2,3.6,1.4,0.0,0.6,1.6,17.219999999999995,35.50515463917525
Playoffs,MIA,Tim Hardaway (1999 - 2000),NBA,4800000,1999 - 2000,2000,1999,Miami Heat,Tim Hardaway,SG,7.7142857142857135,2.142857142857143,4.714285714285714,0.0,0.7142857142857143,1.5714285714285714,17.214285714285708,3.586309523809523
Playoffs,SAC,Jason Williams (1999 - 2000),NBA,1879920,1999 - 2000,2000,1999,Sacramento Kings,Jason Williams,PG,10.4,1.6,2.4,0.0,0.6,1.6,15.52,8.255670454061875
Playoffs,SEA,Shammond Williams (1999 - 2000),NBA,500000,1999 - 2000,2000,1999,Seattle SuperSonics,Shammond Williams,PG,10.2,2.2,3.6,0.0,1.6,1.2,20.24,40.48
Playoffs,MIL,Scott Williams (1999 - 2000),NBA,3750000,1999 - 2000,2000,1999,Milwaukee Bucks,Scott Williams,C,10.2,5.6,0.4,1.0,0.4,0.8,19.52,5.205333333333333
Playoffs,UTA,Howard Eisley (1999 - 2000),NBA,1560000,1999 - 2000,2000,1999,Utah Jazz,Howard Eisley,PG,5.1,1.8,1.9,0.1,0.6,1.3,10.209999999999997,6.544871794871793
Playoffs,CHA,Anthony Mason (1999 - 2000),NBA,4860100,1999 - 2000,2000,1999,Charlotte Hornets,Anthony Mason,C,12.5,9.75,5.5,0.0,1.0,3.25,31.200000000000006,6.41962099545277
Playoffs,TOR,Tracy McGrady (1999 - 2000),NBA,1767120,1999 - 2000,2000,1999,Toronto Raptors,Tracy McGrady,SF,16.666666666666668,7.0,3.0,1.0,1.0,3.333333333333333,30.233333333333334,17.10881736007364
Playoffs,MIN,Malik Sealy (1999 - 2000),NBA,1100000,1999 - 2000,2000,1999,Minnesota Timberwolves,Malik Sealy,SF,12.5,4.5,1.25,0.0,0.5,2.0,18.775,17.068181818181817
Playoffs,SAS,Avery Johnson (1999 - 2000),NBA,3200000,1999 - 2000,2000,1999,San Antonio Spurs,Avery Johnson,PG,12.0,2.25,5.25,0.0,1.0,2.5,22.075,6.898437499999999
Playoffs,IND,Derrick McKey (1999 - 2000),NBA,4800000,1999 - 2000,2000,1999,Indiana Pacers,Derrick McKey,SF,2.0434782608695654,3.4347826086956523,0.6086956521739131,0.17391304347826084,0.3043478260869565,0.8260869565217391,7.208695652173914,1.5018115942028987
Playoffs,PHX,Corie Blount (1999 - 2000),NBA,1100000,1999 - 2000,2000,1999,Phoenix Suns,Corie Blount,C,4.888888888888889,6.222222222222222,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.4444444444444444,14.07777777777778,12.797979797979798
Playoffs,CHA,David Wesley (1999 - 2000),NBA,2520000,1999 - 2000,2000,1999,Charlotte Hornets,David Wesley,SG,11.0,3.0,4.75,0.0,2.0,1.5,24.225,9.613095238095239
Playoffs,SAC,Peja Stojakovic (1999 - 2000),NBA,1310400,1999 - 2000,2000,1999,Sacramento Kings,Peja Stojakovic,SF,8.8,3.4,0.6,0.0,0.8,1.0,14.38,10.973748473748474
Playoffs,SEA,Brent Barry (1999 - 2000),NBA,3960000,1999 - 2000,2000,1999,Seattle SuperSonics,Brent Barry,SG,8.4,2.6,3.0,0.6,0.6,1.4,17.02,4.297979797979798
Playoffs,PHX,Todd Day (1999 - 2000),NBA,510000,1999 - 2000,2000,1999,Phoenix Suns,Todd Day,SG,4.666666666666667,1.1111111111111112,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444,7.333333333333334,14.379084967320262
Playoffs,SEA,Ruben Patterson (1999 - 2000),NBA,900000,1999 - 2000,2000,1999,Seattle SuperSonics,Ruben Patterson,SF,8.2,3.0,0.4,0.4,0.6,1.6,12.8,14.222222222222223
Playoffs,SAS,Sean Elliott (1999 - 2000),NBA,5433333,1999 - 2000,2000,1999,San Antonio Spurs,Sean Elliott,SF,10.0,5.5,1.25,0.5,0.0,1.0,18.475,3.4003069570740467
Playoffs,TOR,Antonio Davis (1999 - 2000),NBA,4200000,1999 - 2000,2000,1999,Toronto Raptors,Antonio Davis,C,13.0,8.333333333333334,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,26.500000000000004,6.30952380952381
Playoffs,SAC,Jon Barry (1999 - 2000),NBA,800000,1999 - 2000,2000,1999,Sacramento Kings,Jon Barry,SG,7.8,2.4,2.4,0.0,0.6,0.8,14.679999999999998,18.349999999999998
Playoffs,TOR,Kevin Willis (1999 - 2000),NBA,2625000,1999 - 2000,2000,1999,Toronto Raptors,Kevin Willis,PF,13.0,8.666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,24.566666666666666,9.35873015873016
Playoffs,PHX,Luc Longley (1999 - 2000),NBA,5175000,1999 - 2000,2000,1999,Phoenix Suns,Luc Longley,C,4.222222222222221,3.333333333333333,0.8888888888888888,0.4444444444444444,0.4444444444444444,1.1111111111111112,10.222222222222225,1.9753086419753092
Playoffs,PHI,Eric Snow (1999 - 2000),NBA,3000000,1999 - 2000,2000,1999,Philadelphia 76ers,Eric Snow,PG,7.4,2.0,7.0,0.2,0.8,1.4,20.9,6.966666666666666
Playoffs,SAS,Samaki Walker (1999 - 2000),NBA,2716667,1999 - 2000,2000,1999,San Antonio Spurs,Samaki Walker,PF,9.0,11.25,0.5,3.0,0.25,2.0,27.75,10.214722673040162
Playoffs,SAC,Nick Anderson (1999 - 2000),NBA,5051906,1999 - 2000,2000,1999,Sacramento Kings,Nick Anderson,SG,7.2,3.4,0.4,0.6,0.2,0.8,12.68,2.509943771717051
Playoffs,MIA,Bruce Bowen (1999 - 2000),NBA,510000,1999 - 2000,2000,1999,Chicago Bulls,Bruce Bowen,SF,3.5,1.0,0.8,0.4,0.7,0.6,7.5,14.705882352941176
Playoffs,UTA,Armen Gilliam (1999 - 2000),NBA,3707200,1999 - 2000,2000,1999,Orlando Magic,Armen Gilliam,PF,3.5,2.9,0.4,0.4,0.4,1.1,8.080000000000002,2.1795425118687963
Playoffs,UTA,Armen Gilliam (1999 - 2000),NBA,312000,1999 - 2000,2000,1999,Utah Jazz,Armen Gilliam,PF,3.5,2.9,0.4,0.4,0.4,1.1,8.080000000000002,25.897435897435905
Playoffs,SAC,Corliss Williamson (1999 - 2000),NBA,3560000,1999 - 2000,2000,1999,Sacramento Kings,Corliss Williamson,PF,6.6,3.0,0.2,0.0,0.2,1.0,9.9,2.7808988764044944
Playoffs,MIA,Otis Thorpe (1999 - 2000),NBA,2000000,1999 - 2000,2000,1999,Miami Heat,Otis Thorpe,PF,3.3,2.9,0.3,0.2,0.0,1.1,6.5299999999999985,3.2649999999999992
Playoffs,MIL,Ervin Johnson (1999 - 2000),NBA,2951029,1999 - 2000,2000,1999,Milwaukee Bucks,Ervin Johnson,C,6.2,9.8,0.4,1.2,1.2,0.6,22.76,7.712563990391149
Playoffs,IND,Chris Mullin (1999 - 2000),NBA,4079100,1999 - 2000,2000,1999,Indiana Pacers,Chris Mullin,None,3.4444444444444446,1.5555555555555556,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.4444444444444444,7.2555555555555555,1.7787148036467737
Playoffs,UTA,Greg Ostertag (1999 - 2000),NBA,5200000,1999 - 2000,2000,1999,Utah Jazz,Greg Ostertag,C,3.75,5.625,0.25,2.125,0.25,1.0,14.625,2.8125
Playoffs,TOR,Charles Oakley (1999 - 2000),NBA,5236000,1999 - 2000,2000,1999,Toronto Raptors,Charles Oakley,PF,10.0,7.666666666666668,3.6666666666666665,0.3333333333333333,2.0,1.6666666666666667,27.7,5.290297937356761
Playoffs,MIN,Anthony Peeler (1999 - 2000),NBA,2495500,1999 - 2000,2000,1999,Minnesota Timberwolves,Anthony Peeler,SG,7.5,2.25,1.25,0.25,0.75,0.25,13.825,5.539971949509116
Playoffs,SAS,Mario Elie (1999 - 2000),NBA,1925000,1999 - 2000,2000,1999,San Antonio Spurs,Mario Elie,SG,7.5,4.25,1.75,0.0,1.25,3.0,14.725,7.649350649350649
Playoffs,CHA,Brad Miller (1999 - 2000),NBA,385000,1999 - 2000,2000,1999,Charlotte Hornets,Brad Miller,C,7.5,3.25,0.75,0.75,0.0,2.25,11.775,30.584415584415584
Playoffs,SAS,Antonio Daniels (1999 - 2000),NBA,2794920,1999 - 2000,2000,1999,San Antonio Spurs,Antonio Daniels,PG,7.25,2.5,1.5,0.0,1.75,1.5,14.5,5.187983913671948
Playoffs,UTA,Jacque Vaughn (1999 - 2000),NBA,781800,1999 - 2000,2000,1999,Utah Jazz,Jacque Vaughn,PG,4.0,1.7142857142857142,1.5714285714285714,0.14285714285714285,0.5714285714285714,1.2857142857142858,8.557142857142857,10.945437269305264
Playoffs,DET,Michael Curry (1999 - 2000),NBA,2000000,1999 - 2000,2000,1999,Detroit Pistons,Michael Curry,SF,9.333333333333334,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,12.7,6.35
Playoffs,MIL,Vinny Del Negro (1999 - 2000),NBA,1925000,1999 - 2000,2000,1999,Milwaukee Bucks,Vinny Del Negro,None,5.2,1.6,1.8,0.0,0.6,0.6,10.42,5.412987012987013
Playoffs,UTA,Quincy Lewis (1999 - 2000),NBA,930720,1999 - 2000,2000,1999,Utah Jazz,Quincy Lewis,SF,3.25,1.875,0.25,0.875,0.375,0.375,8.0,8.5954959601169
Playoffs,MIL,Darvin Ham (1999 - 2000),NBA,460000,1999 - 2000,2000,1999,Milwaukee Bucks,Darvin Ham,SF,5.0,5.8,1.4,1.6,0.2,1.4,16.26,35.34782608695652
Playoffs,MIN,Rasho Nesterovic (1999 - 2000),NBA,1050240,1999 - 2000,2000,1999,Minnesota Timberwolves,Rasho Nesterovic,C,6.25,3.25,1.5,1.75,0.75,1.0,16.4,15.61547836684948
